Student Name,LRN,Quarterly Exam
Juan Dela Cruz,123456789001,82
Maria Santos,123456789002,75
Jose Carreon,123456789003,88
Ana Lopez,123456789004,71
Miguel Reyes,123456789005,95
Karen Tan,123456789006,79
Ramon Garcia,123456789007,85
Lisa Cruz,123456789008,77
Neil Domingo,123456789009,65
Patricia Ramos,123456789010,92
Aldo Sanchez,123456789011,87
Ellen Flores,123456789012,74
Mark Villanueva,123456789013,70
Rhea Gomez,123456789014,78
John Lim,123456789015,94
Bea Navarro,123456789016,66
Carlos Torres,123456789017,80
Maya Serrano,123456789018,68
Oliver Reyes,123456789019,86
Zara Alcantara,123456789020,81
